,,,,start,end,ampl. [pA],,dwell time [ms],freq.,interevent interval,,,,N1,,tau1,,N2,,tau2,,N3,,tau3,,N4,,tau4,,,Burst analysis,ev./burst,start,end,duration [ms],mean intraburst interval [ms],,frequency [Hz],,open duration mean [ms],,openings,closures,,,,,,,,,,,,,,,,,
1,1,1,A,619.299988,625.700012,2.235866,0.357119,6.4,1818.181763,0.55,,,,,,,,,,,,,,,,,,,,,,1,829.75,831.799988,2.05,0,0,0,0,2.05,0,2.05,0,,,,,,,,,,,,,,,,,
1,1,0,A,625.700012,626.099976,0.218507,0.162814,0.4,147.058823,6.8,,,,,,,,,,,,,,,,,,,,,,1,835,835.450012,0.45,0,0,0,0,0.45,0,0.45,0,,,,,,,,,,,,,,,,,
1,1,1,A,626.099976,626.950012,2.097748,0.445602,0.85,147.058823,6.8,,,,,,,,,,,,,,,,,,,,,,5,848.050049,860.650024,12.599994,3.037498,11.931818,347.924652,1376.93811,2.09,12.38658,10.45,12.149992,,,,,,,,,,,,,,,,,
1,1,0,A,626.950012,629.5,0.210383,0.263547,2.55,800,1.25,,,,,,,,,,,,,,,,,,,,,,1,866.150024,866.650024,0.5,0,0,0,0,0.5,0,0.5,0,,,,,,,,,,,,,,,,,
1,1,1,A,629.5,631.5,2.052447,0.277192,2,294.117645,3.4,,,,,,,,,,,,,,,,,,,,,,1,869.450012,870.049988,0.6,0,0,0,0,0.6,0,0.6,0,,,,,,,,,,,,,,,,,
1,1,0,AB,631.5,631.599976,1.237967,0,0.1,219.780212,4.55,,,,,,,,,,,,,,,,,,,,,,1,872.950012,874.799988,1.85,0,0,0,0,1.85,0,1.85,0,,,,,,,,,,,,,,,,,
1,1,1,A,631.599976,632.599976,2.216818,0.320984,1,476.190491,2.1,,,,,,,,,,,,,,,,,,,,,,1,912.700073,913.050049,0.35,0,0,0,0,0.35,0,0.35,0,,,,,,,,,,,,,,,,,
1,1,0,A,632.599976,633.150024,0.077427,0.071737,0.55,909.090881,1.1,,,,,,,,,,,,,,,,,,,,,,2,917.700073,923.000061,5.300006,1.350006,0,740.737366,0,2.175,4.697206,4.35,1.350006,,,,,,,,,,,,,,,,,
1,1,1,A,633.150024,634.400024,1.879809,0.403969,1.25,645.161316,1.55,,,,,,,,,,,,,,,,,,,,,,2,925.850098,928.950073,3.099976,2.349976,0,425.536346,0,0.9,1.30767,1.8,2.349976,,,,,,,,,,,,,,,,,
1,1,0,A,634.400024,640.349976,-0.022369,0.259744,5.95,555.555542,1.8,,,,,,,,,,,,,,,,,,,,,,1,933.5,934.849976,1.35,0,0,0,0,1.35,0,1.35,0,,,,,,,,,,,,,,,,,
1,1,1,A,640.349976,640.75,2.226311,0.251852,0.4,138.888885,7.2,,,,,,,,,,,,,,,,,,,,,,1,944.050049,944.200073,0.15,0,0,0,0,0.15,0,0.15,0,,,,,,,,,,,,,,,,,
1,1,0,A,640.75,649.650024,-0.006396,0.266424,8.9,157.480316,6.35,,,,,,,,,,,,,,,,,,,,,,7,946.900024,957.600037,10.700006,1.016668,6.339544,1178.52124,7873.867188,1.292857,13.17412,9.049999,6.100008,,,,,,,,,,,,,,,,,
1,1,1,A,649.650024,650,2.190262,0.074252,0.35,107.526878,9.3,,,,,,,,,,,,,,,,,,,,,,1,962.100098,965.55011,3.45,0,0,0,0,3.45,0,3.45,0,,,,,,,,,,,,,,,,,
1,1,0,A,650,656.799988,0.042405,0.432019,6.8,108.108109,9.25,,,,,,,,,,,,,,,,,,,,,,3,971.250061,974.500061,3.249988,1.399994,2.174833,796.582886,1237.458984,0.716667,2.26541,2.150001,2.799988,,,,,,,,,,,,,,,,,
1,1,0,A,685.150024,687.700012,-0.027501,0.211913,2.55,68.728523,14.55,,,,,,,,,,,,,,,,,,,,,,1,1006.750061,1006.950073,0.2,0,0,0,0,0.2,0,0.2,0,,,,,,,,,,,,,,,,,
1,1,1,A,687.700012,688.400024,2.103341,0.332842,0.7,145.985397,6.85,,,,,,,,,,,,,,,,,,,,,,1,1047.600098,1047.700073,0.1,0,0,0,0,0.1,0,0.1,0,,,,,,,,,,,,,,,,,
1,1,0,A,688.400024,689.349976,0.202095,0.272636,0.95,307.692322,3.25,,,,,,,,,,,,,,,,,,,,,,6,1062.25,1071,8.750036,1.720007,9.166628,756.591431,4274.039551,1.258333,9.028561,7.549998,8.600035,,,,,,,,,,,,,,,,,
1,1,1,A,689.349976,692.450012,1.996061,0.291133,3.1,606.060608,1.65,,,,,,,,,,,,,,,,,,,,,,4,1078.900146,1101.350098,22.450001,7.083333,23.814608,246.65976,869.890747,4.825,26.306639,19.3,21.249999,,,,,,,,,,,,,,,,,
1,1,0,A,692.450012,693.099976,0.446704,0.406615,0.65,246.913574,4.05,,,,,,,,,,,,,,,,,,,,,,1,1110.500244,1110.60022,0.1,0,0,0,0,0.1,0,0.1,0,,,,,,,,,,,,,,,,,
1,1,1,A,693.099976,694.200012,2.421656,0.288789,1.1,266.666656,3.75,,,,,,,,,,,,,,,,,,,,,,1,1113.000244,1113.10022,0.1,0,0,0,0,0.1,0,0.1,0,,,,,,,,,,,,,,,,,
1,1,0,A,694.200012,694.599976,-0.204721,0.125221,0.4,571.428589,1.75,,,,,,,,,,,,,,,,,,,,,,1,1123.200195,1125.400146,2.2,0,0,0,0,2.2,0,2.2,0,,,,,,,,,,,,,,,,,
1,1,0,AB,695.75,695.950012,0.570985,0,0.2,645.161316,1.55,,,,,,,,,,,,,,,,,,,,,,2,1129.050171,1131.900146,2.849951,1.449951,0,689.678406,0,0.75,1.677796,1.5,1.449951,,,,,,,,,,,,,,,,,
1,1,1,A,695.950012,696.400024,1.98578,0.099114,0.45,1818.181763,0.55,,,,,,,,,,,,,,,,,,,,,,1,1136.650146,1141.500122,4.85,0,0,0,0,4.85,0,4.85,0,,,,,,,,,,,,,,,,,
1,1,0,A,696.400024,696.700012,0.287172,0.047474,0.3,1538.461548,0.65,,,,,,,,,,,,,,,,,,,,,,1,1148.000122,1148.400146,0.4,0,0,0,0,0.4,0,0.4,0,,,,,,,,,,,,,,,,,
1,1,1,AB,696.700012,696.900024,2.314079,0,0.2,1333.333374,0.75,,,,,,,,,,,,,,,,,,,,,,1,1153.500122,1154.150146,0.65,0,0,0,0,0.65,0,0.65,0,,,,,,,,,,,,,,,,,
1,1,0,AB,696.900024,697.049988,0.769889,0,0.15,2000,0.5,,,,,,,,,,,,,,,,,,,,,,2,1161.100098,1162.200073,1.100024,0.650024,0,1538.403809,0,0.45,0.636396,0.9,0.650024,,,,,,,,,,,,,,,,,
1,1,0,A,742.5,743,-0.045975,0.105769,0.5,43.956043,22.75,,,,,,,,,,,,,,,,,,,,,,1,1166.300171,1168.900146,2.6,0,0,0,0,2.6,0,2.6,0,,,,,,,,,,,,,,,,,
1,1,1,A,743,744.299988,2.203527,0.263839,1.3,41.152264,24.299999,,,,,,,,,,,,,,,,,,,,,,2,1179.650146,1185.500122,5.849951,1.699951,0,588.252197,0,2.875,4.799349,5.75,1.699951,,,,,,,,,,,,,,,,,
1,1,0,A,744.299988,748.799988,-0.068658,0.234359,4.5,555.555542,1.8,,,,,,,,,,,,,,,,,,,,,,2,1187.950195,1190.60022,2.65,2.5,0,400,0,0.575,1.176329,1.15,2.5,,,,,,,,,,,,,,,,,
1,1,1,AB,748.799988,749.349976,2.268918,0.667755,0.55,172.413788,5.8,,,,,,,,,,,,,,,,,,,,,,1,1192.850098,1198.400146,5.55,0,0,0,0,5.55,0,5.55,0,,,,,,,,,,,,,,,,,
1,1,0,A,749.349976,769.450012,-0.051369,0.275402,20.1,198.019806,5.05,,,,,,,,,,,,,,,,,,,,,,2,1201.650146,1206.850098,5.200012,3.200012,0,312.49881,0,1.725,2.50075,3.45,3.200012,,,,,,,,,,,,,,,,,
1,1,1,AB,769.450012,769.650024,1.743474,0,0.2,48.426151,20.65,,,,,,,,,,,,,,,,,,,,,,5,1209.600098,1223.900146,14.300049,1.762512,7.420819,680.573669,2837.499268,2.28,16.840487,11.4,7.050048,,,,,,,,,,,,,,,,,
1,1,0,A,769.650024,783.200012,-0.084956,0.253682,13.55,49.261086,20.299999,,,,,,,,,,,,,,,,,,,,,,1,1226.400146,1229.100098,2.7,0,0,0,0,2.7,0,2.7,0,,,,,,,,,,,,,,,,,
1,1,1,AB,783.200012,783.400024,1.692315,0,0.2,72.727272,13.75,,,,,,,,,,,,,,,,,,,,,,1,1232.000244,1232.400269,0.4,0,0,0,0,0.4,0,0.4,0,,,,,,,,,,,,,,,,,
1,1,0,AB,783.400024,783.599976,0.660821,0,0.2,72.727272,13.75,,,,,,,,,,,,,,,,,,,,,,1,1235.550293,1236.150269,0.6,0,0,0,0,0.6,0,0.6,0,,,,,,,,,,,,,,,,,
1,1,1,A,783.599976,784.549988,1.946221,0.438306,0.95,2500,0.4,,,,,,,,,,,,,,,,,,,,,,2,1243.350342,1246.050293,2.699975,1.849976,0,540.547668,0,0.975,1.401339,1.95,1.849976,,,,,,,,,,,,,,,,,
1,1,0,A,784.549988,784.900024,0.144057,0.059906,0.35,869.565247,1.15,,,,,,,,,,,,,,,,,,,,,,2,1249.800293,1253.300293,3.5,2.25,0,444.444458,0,1.55,2.272664,3.1,2.25,,,,,,,,,,,,,,,,,
1,1,0,A,799.599976,800.450012,0.155979,0.109349,0.85,132.450333,7.55,,,,,,,,,,,,,,,,,,,,,,2,1255.450195,1256.800171,1.35,0.5,0,2000,0,0.625,0.991842,1.25,0.5,,,,,,,,,,,,,,,,,
1,1,1,A,800.450012,801,1.960763,0.048919,0.55,666.666687,1.5,,,,,,,,,,,,,,,,,,,,,,1,1266.35022,1268.000244,1.65,0,0,0,0,1.65,0,1.65,0,,,,,,,,,,,,,,,,,
1,1,0,A,801,801.25,0.235212,0,0.25,714.285706,1.4,,,,,,,,,,,,,,,,,,,,,,3,1273.400146,1276.300171,2.900061,1.000031,1.445723,1022.983337,1478.905273,0.8,2.204541,2.4,2.000062,,,,,,,,,,,,,,,,,
1,1,1,AB,801.25,801.400024,1.71859,0,0.15,1250,0.8,,,,,,,,,,,,,,,,,,,,,,3,1281.400269,1289.350342,7.950012,2.100006,3.695958,656.24939,1154.982422,2.383333,7.405882,7.149999,4.200012,,,,,,,,,,,,,,,,,
1,1,0,A,801.400024,801.700012,0.162193,0.112212,0.3,2500,0.4,,,,,,,,,,,,,,,,,,,,,,7,1294.650269,1303.700317,9.050013,1.366669,9.094936,1069.649658,7702.053223,0.871429,7.309859,6.100003,8.200014,,,,,,,,,,,,,,,,,
1,1,0,A,806.799988,808.049988,0.061706,0.329462,1.25,185.185181,5.4,,,,,,,,,,,,,,,,,,,,,,1,1306.250244,1312.300293,6.05,0,0,0,0,6.05,0,6.05,0,,,,,,,,,,,,,,,,,
1,1,1,A,808.049988,811.950012,2.077913,0.299713,3.9,408.163269,2.45,,,,,,,,,,,,,,,,,,,,,,2,1324.800293,1328.100342,3.300012,1.700012,0,588.231079,0,1.425,2.045422,2.85,1.700012,,,,,,,,,,,,,,,,,
1,1,0,A,811.950012,814.25,0.079714,0.194563,2.3,194.174759,5.15,,,,,,,,,,,,,,,,,,,,,,1,1332.550293,1334.100342,1.55,0,0,0,0,1.55,0,1.55,0,,,,,,,,,,,,,,,,,
1,1,1,A,814.25,814.900024,2.397041,0.382199,0.65,161.290329,6.2,,,,,,,,,,,,,,,,,,,,,,7,1337.950195,1352.750244,14.8,1.916667,13.143117,852.410767,6246.640137,1.492857,12.641892,10.449999,11.500002,,,,,,,,,,,,,,,,,
1,1,0,A,814.900024,818.25,0.18844,0.21217,3.35,338.983063,2.95,,,,,,,,,,,,,,,,,,,,,,1,1356.400146,1359.800171,3.4,0,0,0,0,3.4,0,3.4,0,,,,,,,,,,,,,,,,,
1,1,1,A,818.25,821.450012,2.083635,0.309715,3.2,250,4,,,,,,,,,,,,,,,,,,,,,,1,1372.10022,1372.700195,0.6,0,0,0,0,0.6,0,0.6,0,,,,,,,,,,,,,,,,,
1,1,0,AB,821.450012,821.549988,1.355994,0,0.1,152.671753,6.55,,,,,,,,,,,,,,,,,,,,,,1,1381.650146,1381.750122,0.1,0,0,0,0,0.1,0,0.1,0,,,,,,,,,,,,,,,,,
1,1,1,A,821.549988,822.400024,1.786527,0.098688,0.85,303.030304,3.3,,,,,,,,,,,,,,,,,,,,,,8,1422.050171,1447.300049,25.249928,2.721418,20.955425,501.724487,4136.425781,2.65,25.759159,21.2,19.049926,,,,,,,,,,,,,,,,,
1,1,0,A,822.400024,827.049988,-0.042259,0.199203,4.65,1052.631592,0.95,,,,,,,,,,,,,,,,,,,,,,2,1450.300049,1453.700073,3.400012,2.700012,0,370.368683,0,0.775,1.106232,1.55,2.700012,,,,,,,,,,,,,,,,,
1,1,1,A,827.049988,827.299988,1.229161,0,0.25,181.818176,5.5,,,,,,,,,,,,,,,,,,,,,,3,1467.000122,1471.250122,4.250024,1.450012,2.239445,763.154541,1178.640259,1.183333,3.575903,3.549999,2.900024,,,,,,,,,,,,,,,,,
1,1,0,A,827.299988,828.450012,0.118,0.226301,1.15,204.081635,4.9,,,,,,,,,,,,,,,,,,,,,,2,1474.400146,1478.050049,3.649963,3.149963,0,317.46402,0,0.925,1.560048,1.85,3.149963,,,,,,,,,,,,,,,,,
1,1,1,A,828.450012,836.75,2.207525,0.311501,8.3,714.285706,1.4,,,,,,,,,,,,,,,,,,,,,,3,1481.500122,1485.550049,4.049878,1.374939,2.259086,881.473877,1448.301025,1.05,3.554399,3.15,2.749878,,,,,,,,,,,,,,,,,
1,1,0,A,836.75,843.549988,-0.054512,0.290197,6.8,105.820107,9.45,,,,,,,,,,,,,,,,,,,,,,2,1490.75,1495.550049,4.800049,0.550049,0,1818.020386,0,2.325,5.062978,4.65,0.550049,,,,,,,,,,,,,,,,,
1,1,0,A,858.950012,859.200012,0.318262,0,0.25,307.692322,3.25,,,,,,,,,,,,,,,,,,,,,,1,1498.100098,1504.000122,5.9,0,0,0,0,5.9,0,5.9,0,,,,,,,,,,,,,,,,,
1,1,1,A,859.200012,859.549988,2.257327,0.127883,0.35,952.380981,1.05,,,,,,,,,,,,,,,,,,,,,,1,1507.850098,1508.000122,0.15,0,0,0,0,0.15,0,0.15,0,,,,,,,,,,,,,,,,,
1,1,0,AB,859.549988,859.700012,0.639895,0,0.15,1666.666626,0.6,,,,,,,,,,,,,,,,,,,,,,1,1512.900146,1513.600098,0.7,0,0,0,0,0.7,0,0.7,0,,,,,,,,,,,,,,,,,
1,1,1,A,859.700012,864.5,2.045694,0.295813,4.8,2000,0.5,,,,,,,,,,,,,,,,,,,,,,3,1606.500122,1613.400146,6.899976,2.799988,4.436144,409.351715,648.554016,1.75,5.799461,5.25,5.599976,,,,,,,,,,,,,,,,,
