Trace,Search,Level,State,Event St.,Event end,Amplitud,Amp. SD,Dwell Time,Inst. Freq,Interval
1,1,0,A,10237.9502,10238.45996,0.626774,0.304515,0.5098,952.653137,1.0497
1,1,1,A,10238.45996,10239.59961,3.228585,0.285527,1.1395,1668.056763,0.5995
1,1,0,A,10239.59961,10241.96973,-0.143053,0.210622,2.37,606.31781,1.6493
1,1,1,A,10241.96973,10251.87012,3.138374,0.262803,9.9006,284.940887,3.5095
1,1,0,A,10251.87012,10252.11035,0.055063,0.10125,0.2404,81.495605,12.2706
1,1,1,A,10252.11035,10259.30957,3.069519,0.322219,7.199,98.609604,10.141
1,1,0,A,10259.30957,10260.05957,-0.112389,0.169329,0.75,134.419449,7.4394
1,1,1,A,10260.05957,10263.87012,3.103226,0.300808,3.8106,125.801987,7.949
1,1,0,A,10263.87012,10266.78027,-0.138237,0.220889,2.9101,219.269394,4.5606
1,1,1,A,10266.78027,10282.98047,3.100637,0.349391,16.2003,148.794022,6.7207
1,1,0,A,10282.98047,10283.91016,-0.016705,0.287164,0.9297,52.32753,19.110399
1,1,1,A,10283.91016,10284.59961,3.173784,0.493021,0.6893,58.377117,17.129999
1,1,0,A,10284.59961,10285.16992,0.905028,0.142279,0.5705,617.665222,1.619
1,1,1,A,10285.16992,10285.37988,3.014216,0.143479,0.21,793.776794,1.2598
1,1,0,A,10285.37988,10287.69043,-0.114505,0.18588,2.3105,1281.22998,0.7805
1,1,1,A,10287.69043,10289.09961,3.034899,0.497408,1.409,396.746674,2.5205
1,1,0,A,10289.09961,10289.37012,-0.069741,0.160579,0.2706,268.853333,3.7195
1,1,1,A,10289.37012,10304.12988,3.082161,0.295894,14.7599,595.379883,1.6796
1,1,0,AB,10304.12988,10304.25,0.455301,0,0.12,66.531387,15.0305
1,1,1,A,10304.25,10344.99023,3.097868,0.310979,40.7402,67.20475,14.8799
1,1,0,A,10344.99023,10348.29004,-0.120819,0.198448,3.2998,24.473694,40.860199
1,1,1,A,10348.29004,10365.36035,3.004619,0.359825,17.070499,22.706631,44.040001
,,,,,,,,,,
1,1,1,A,10705.53027,10706.37012,2.808252,0.348139,0.8399,N/A,Not found
1,1,0,A,10706.37012,10707.15039,-0.156031,0.198453,0.7804,N/A,Not found
1,1,1,A,10707.15039,10707.41992,2.991752,0.169849,0.2695,617.169678,1.6203
1,1,0,AB,10707.41992,10707.50977,0.73101,0,0.09,952.47168,1.0499
1,1,1,A,10707.50977,10720.98047,3.004533,0.34138,13.4705,2781.641113,0.3595
1,1,0,A,10720.98047,10723.83008,-0.116681,0.177395,2.8496,73.743591,13.5605
1,1,1,A,10723.83008,10728.29981,3.094124,0.265771,4.4699,61.274136,16.320101
1,1,0,A,10728.29981,10730.16016,-0.104231,0.188503,1.8602,136.621353,7.3195
1,1,1,A,10730.16016,10746.48047,3.117378,0.293346,16.320299,157.975388,6.3301
1,1,0,AB,10746.48047,10746.54004,1.283225,0,0.0595,55.003986,18.1805
1,1,1,A,10746.54004,10748.25,3.15249,0.259341,1.71,61.050808,16.379801
1,1,0,A,10748.25,10749.05957,-0.082848,0.186851,0.8095,565.131409,1.7695
1,1,1,A,10749.05957,10766.09961,2.950491,0.400264,17.040001,396.904144,2.5195
1,1,0,A,10766.09961,10772.04004,-0.081761,0.207225,5.9405,56.023979,17.849501
1,1,1,A,10772.04004,10773.17969,2.986841,0.313883,1.1395,43.515156,22.980499
1,1,0,A,10773.17969,10775.07031,-0.145511,0.215857,1.8907,141.242935,7.08
1,1,1,A,10775.07031,10776.38965,2.679407,0.460919,1.3193,330.01123,3.0302
1,1,0,A,10776.38965,10777.13965,-0.011597,0.151097,0.75,311.526489,3.21
1,1,1,A,10777.13965,10779.05957,3.164855,0.303869,1.92,483.255219,2.0693
1,1,0,A,10779.05957,10779.90039,0.429534,0.32356,0.841,374.53183,2.67
1,1,1,A,10779.90039,10786.29004,3.140322,0.38608,6.3895,362.187622,2.761
1,1,0,A,10786.29004,10786.67969,-0.067366,0.269697,0.3895,138.303024,7.2305
1,1,1,A,10786.67969,10788.05957,3.118774,0.205176,1.38,147.514389,6.779
1,1,0,AB,10788.05957,10788.15039,0.789426,0,0.091,565.131409,1.7695
1,1,1,A,10788.15039,10789.58984,3.087025,0.225195,1.4395,679.809631,1.471
1,1,0,A,10789.58984,10792.79981,-0.051401,0.225139,3.21,653.381226,1.5305
1,1,1,A,10792.79981,10793.49023,3.040627,0.323082,0.6902,215.076889,4.6495
1,1,0,A,10793.49023,10794.71973,-0.121586,0.198571,1.2293,256.397095,3.9002
1,1,1,A,10794.71973,10798.25977,3.022649,0.39003,3.5405,520.968994,1.9195
1,1,0,AB,10798.25977,10798.32031,1.080183,0,0.0602,209.65239,4.7698
1,1,1,A,10798.32031,10801.01953,3.066203,0.359994,2.6993,277.723785,3.6007
1,1,0,AB,10801.01953,10801.08008,0.944075,0,0.0606,362.384491,2.7595
1,1,1,A,10801.08008,10803.05957,3.276937,0.269243,1.9794,362.33197,2.7599
1,1,0,AB,10803.05957,10803.12012,1.254744,0,0.0606,490.196075,2.04
1,1,1,AB,10803.12012,10803.17969,1.410383,0,0.0594,490.196075,2.04
1,1,0,AB,10803.17969,10803.26953,0.690779,0,0.09,8333.333008,0.12
1,1,1,A,10803.26953,10803.48047,3.206241,0.087117,0.211,6693.44043,0.1494
